Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
HUDDART COUNTY PARK,HUDC1,37.43945,-122.28889,CNRFC
ALAMEDA CO FIRE - ESTUDILLO,HUFC1,37.7265,-122.1506,CNRFC
HIGH VALLEY ROAD,HVRC1,39.065,-122.71111,CNRFC
,HWD,37.65417,-122.115,CNRFC
HAYWARD,HWDC1,37.64778,-122.09667,CNRFC
HAWKEYE,HWKC1,38.735,-122.83695,CNRFC
INDIAN CK DRIVE,INCC1,38.70945,-121.23695,CNRFC
INDIAN VALLEY DAM,INVC1,39.08,-122.53361,CNRFC
CRIPPLE CK - SUNRISE BLVD,IPPC1,38.71778,-121.27139,CNRFC
INDUSTRIAL PUMP STATION,IPWC1,37.61889,-122.05917,CNRFC
MIRABEL,IRAC1,38.49919,-122.89608,CNRFC
IRONHOUSE SANITARY DISTRICT,ISDC1,38.00139,-121.70917,CNRFC
R04 - INTERNATIONAL BLVD,ITLC1,37.7901,-122.2477,CNRFC
JEPSON PRAIRIE,JEPC1,38.26806,-121.82777,CNRFC
JOHNSON CAMP,JNRC1,37.66722,-121.60361,CNRFC
JOHNSON RANCH,JONC1,37.22083,-121.93083,CNRFC
J3 PUMP STN - UNION CITY BL,JPSC1,37.5838,-122.0805,CNRFC
LAKE KITTRIDGE,KDGC1,37.19049,-122.01575,CNRFC
KONOCTI,KELC1,38.91361,-122.70944,CNRFC
KREGOR PEAK,KGRC1,37.94306,-121.89111,CNRFC
KNOXVILLE CREEK,KNXC1,38.88333,-122.43333,CNRFC
KENTFIELD,KTFC1,37.95611,-122.5475,CNRFC
LA HONDA,LAHC1,37.30528,-122.25528,CNRFC
MARYKNOLL FIELDS,LALC1,37.3325,-122.08083,CNRFC
COYOTE DAM,LAMC1,39.20028,-123.18639,CNRFC
LIBERTY ISLAND,LBIC1,38.32889,-121.69306,CNRFC
LIBERTY ROAD,LBTC1,38.28167,-122.70361,CNRFC
LAKE BERRYESSA,LBYC1,38.51361,-122.10472,CNRFC
LICHAU CREEK,LCRC1,38.31667,-122.63333,CNRFC
MARK WEST SPRINGS RD,LDAC1,38.50667,-122.72361,CNRFC
CHAMPION OAKS,LDCC1,38.72722,-121.24556,CNRFC
LIDDELL,LDLC1,37.02417,-122.1505,CNRFC
DEL ORO HS,LDOC1,38.83167,-121.18333,CNRFC
LEXINGTON RESERVOIR,LEXC1,37.20167,-121.98805,CNRFC
LAST CHANCE - SANTA CRUZ,LHCC1,37.1431,-122.2445,CNRFC
CAPRI CK - CASELLA WAY,LHNC1,38.26889,-122.63639,CNRFC
LINCOLN,LICC1,38.88111,-121.26667,CNRFC
LIMEKILN,LIMC1,36.5127,-121.5408,CNRFC
LAKE ELSMAN,LKLC1,37.13052,-121.93347,CNRFC
LAKE COUNTY RAWS1,LKRC1,38.8064,-122.7405,CNRFC
LIVERMORE PARK,LMFC1,38.6575,-121.14722,CNRFC
LOMA PRIETA,LMPC1,37.11083,-121.84278,CNRFC
LOS ALTOS,LOAC1,37.35472,-122.14167,CNRFC
LOOMIS OBSERVATORY,LOOC1,38.82778,-121.11139,CNRFC
LAKE RANCH,LRCC1,37.21685,-122.04845,CNRFC
LAKE RANCH NORTH,LRNC1,37.2211,-122.05316,CNRFC
LOS GATOS,LSGC1,37.20278,-121.94278,CNRFC
LOS TRANCOS,LTPC1,37.33444,-122.20694,CNRFC
LAS TRAMPAS,LTRC1,37.83389,-122.06694,CNRFC
LIVERMORE FIRE DEPARTMENT,LVFC1,37.65472,-121.82306,CNRFC
,LVK,37.69278,-121.81444,CNRFC
MALLORY RIDGE,LVMC1,37.81722,-121.77889,CNRFC
LOWER PALOMARES ROAD,LWPC1,37.6779,-122.0144,CNRFC
LEWIS TANK,LWSC1,37.0984,-122.05917,CNRFC
MIRA VISTA ROAD,MAIC1,38.98361,-122.69389,CNRFC
MONTARA BEACH,MBWC1,37.53528,-122.51917,CNRFC
MARSH CREEK RESERVOIR,MCBC1,37.89,-121.72611,CNRFC
,MCC,38.6675,-121.40056,CNRFC
MCGUIRES,MCGC1,39.3525,-123.60167,CNRFC
MORRISON CK - MACK RD,MCMC1,38.47833,-121.46056,CNRFC
MINERS-CAVITT STALLMAN,MCVC1,38.75685,-121.22323,CNRFC
LAKE MENDOCINO WEATHER,MCWC1,39.20306,-123.18528,CNRFC
MOUNT DIABLO,MDAC1,37.88167,-121.91417,CNRFC
MIDDLE PEAK,MDEC1,37.92778,-122.58722,CNRFC
MT GEORGE TRANMER,MGTC1,38.34306,-122.205,CNRFC
MOUNT HAMILTON,MHMC1,37.34667,-121.63389,CNRFC
,MHR,38.55528,-121.29723,CNRFC
